timestamp,split,class,filepath,source,board_meta,row,col
1761349849,train,black_rook,data\train\black_rook\black_rook_1761349849885_r0c0.png,data\raw\boards\board1.png,r0c0,0,0
1761349851,train,black_knight,data\train\black_knight\black_knight_1761349851108_r0c1.png,data\raw\boards\board1.png,r0c1,0,1
1761349852,train,black_bishop,data\train\black_bishop\black_bishop_1761349852807_r0c2.png,data\raw\boards\board1.png,r0c2,0,2
1761349854,train,black_queen,data\train\black_queen\black_queen_1761349854849_r0c3.png,data\raw\boards\board1.png,r0c3,0,3
1761349855,train,black_king,data\train\black_king\black_king_1761349855640_r0c4.png,data\raw\boards\board1.png,r0c4,0,4
1761349857,val,black_bishop,data\val\black_bishop\black_bishop_1761349857788_r0c5.png,data\raw\boards\board1.png,r0c5,0,5
1761349859,train,black_knight,data\train\black_knight\black_knight_1761349859394_r0c6.png,data\raw\boards\board1.png,r0c6,0,6
1761349861,train,black_rook,data\train\black_rook\black_rook_1761349861102_r0c7.png,data\raw\boards\board1.png,r0c7,0,7
1761349863,train,black_pawn,data\train\black_pawn\black_pawn_1761349863241_r1c0.png,data\raw\boards\board1.png,r1c0,1,0
1761349863,train,black_pawn,data\train\black_pawn\black_pawn_1761349863379_r1c1.png,data\raw\boards\board1.png,r1c1,1,1
1761349863,train,black_pawn,data\train\black_pawn\black_pawn_1761349863541_r1c2.png,data\raw\boards\board1.png,r1c2,1,2
1761349863,train,black_pawn,data\train\black_pawn\black_pawn_1761349863702_r1c3.png,data\raw\boards\board1.png,r1c3,1,3
1761349872,train,white_pawn,data\train\white_pawn\white_pawn_1761349872841_r6c0.png,data\raw\boards\board1.png,r6c0,6,0
1761349873,train,white_pawn,data\train\white_pawn\white_pawn_1761349873657_r6c1.png,data\raw\boards\board1.png,r6c1,6,1
1761349876,train,black_rook,data\train\black_rook\black_rook_1761349876640_r7c0.png,data\raw\boards\board1.png,r7c0,7,0
1761349878,train,black_knight,data\train\black_knight\black_knight_1761349878781_r7c1.png,data\raw\boards\board1.png,r7c1,7,1
